FID,REPDIST,PREC,APREC,BUREAU,BASICCAR,AREA,PERIMETER,SHAPE_Length,SHAPE_Area
1,1901,19,MISSION,VALLEY BUREAU,19A1,43671777.5178,31946.3556639,0.0991632430779665,0.000397466903193313
2,1705,17,DEVONSHIRE,VALLEY BUREAU,17A35,109854279.85,48888.5927469,0.148847291905745,0.000999648045025088
3,1902,19,MISSION,VALLEY BUREAU,19A7,33530747.81,26849.3585956,0.081961055903048,0.000305148505360746
4,1903,19,MISSION,VALLEY BUREAU,19A7,10826099.1626,14488.7845487,0.045659450264951,9.85320902310155e-05
5,1904,19,MISSION,VALLEY BUREAU,19A7,17305236.6246,20025.5444132,0.0618827806419276,0.000157494627774171
6,1906,19,MISSION,VALLEY BUREAU,19A7,14956016.8737,18686.7610903,0.0572102309068337,0.000136114155629635
7,1909,19,MISSION,VALLEY BUREAU,19A7,29982426.6066,28140.5385413,0.0861816578957494,0.000272854706136642
8,1912,19,MISSION,VALLEY BUREAU,19A1,19318550.1937,19175.088891,0.0602691537888829,0.00017580566809852
9,1908,19,MISSION,VALLEY BUREAU,19A7,20298475.4503,33313.7695259,0.100735231103129,0.000184709708338656
10,1905,19,MISSION,VALLEY BUREAU,19A7,7631968.33327,11057.5656492,0.033657597310741,6.94519641707457e-05
11,1708,17,DEVONSHIRE,VALLEY BUREAU,17A49,101276401.049,42492.5035911,0.126297301890677,0.000921407519904394
12,1913,19,MISSION,VALLEY BUREAU,19A1,23781107.0605,19792.0437409,0.0603057962877067,0.000216394235706609
13,1917,19,MISSION,VALLEY BUREAU,19A7,3817563.23312,8423.23491529,0.025690178158237,3.47385721868342e-05
14,1907,19,MISSION,VALLEY BUREAU,19A7,15284678.4853,19777.4929017,0.0600873237836564,0.000139077299293058
15,1911,19,MISSION,VALLEY BUREAU,19A1,10011135.2126,14003.4782233,0.0429534591871989,9.10959214407487e-05
16,1916,19,MISSION,VALLEY BUREAU,19A7,11856972.5247,14281.8810838,0.0435126127882422,0.000107887824998835
17,1918,19,MISSION,VALLEY BUREAU,19A7,11175283.5442,17309.2129198,0.0524137514922832,0.000101681019917722
18,1921,19,MISSION,VALLEY BUREAU,19A1,20166184.9918,18445.7357825,0.0557569901164687,0.000183483470411572
19,1915,19,MISSION,VALLEY BUREAU,19A1,7411922.54166,12985.891749,0.0396031298907198,6.74386859416845e-05
20,1919,19,MISSION,VALLEY BUREAU,19A7,14486325.5021,22788.7954641,0.068166610803683,0.000131798875616984
21,1701,17,DEVONSHIRE,VALLEY BUREAU,17A23,98115018.0143,47488.9792268,0.145497409408683,0.00089254893701021
22,1707,17,DEVONSHIRE,VALLEY BUREAU,17A35,12217713.4304,19092.4887836,0.0584308214529517,0.000111160157753878
23,1925,19,MISSION,VALLEY BUREAU,19A1,10685950.9053,14616.1747593,0.0445366533856286,9.7222830940197e-05
24,1715,17,DEVONSHIRE,VALLEY BUREAU,17A35,45842034.6485,33027.5794174,0.101664801763078,0.000417043144692574
25,1924,19,MISSION,VALLEY BUREAU,19A1,19082429.4163,20503.4042362,0.0622478924287342,0.000173600777365226
26,1703,17,DEVONSHIRE,VALLEY BUREAU,17A35,8604583.98323,14557.7711172,0.0455734396246384,7.82829176280775e-05
27,1603,16,FOOTHILL,VALLEY BUREAU,16A35,19203908.403,21287.868327,0.065274332750833,0.000174708729601316
28,1714,17,DEVONSHIRE,VALLEY BUREAU,17A35,26796652.4403,36055.6867403,0.109508428352372,0.000243768183618969
29,1716,17,DEVONSHIRE,VALLEY BUREAU,17A35,15552410.962,19277.9932639,0.0571784217965622,0.000141480841183441
30,1601,16,FOOTHILL,VALLEY BUREAU,16A11,11748364.9408,14811.8525274,0.0450984194203714,0.000106874008809935
31,1618,16,FOOTHILL,VALLEY BUREAU,16A35,46838848.6447,41780.4627459,0.128637287555092,0.000426052588649409
32,1931,19,MISSION,VALLEY BUREAU,19A43,10237936.0558,15234.9463688,0.0459750627947175,9.31303320913523e-05
33,1619,16,FOOTHILL,VALLEY BUREAU,16A59,130897198.393,67264.472965,0.206185778947238,0.0011905419435428
34,1712,17,DEVONSHIRE,VALLEY BUREAU,17A35,19991109.557,17545.628234,0.0523078305616297,0.000181846143006913
35,1602,16,FOOTHILL,VALLEY BUREAU,16A11,16107467.3703,19109.2682144,0.0591057384662722,0.000146520658155239
36,1713,17,DEVONSHIRE,VALLEY BUREAU,17A35,12006303.8165,14596.3758414,0.0440223327579657,0.00010921174046613
37,1605,16,FOOTHILL,VALLEY BUREAU,16A35,10019918.8829,13045.175181,0.041070977121097,9.1146049142666e-05
38,1709,17,DEVONSHIRE,VALLEY BUREAU,17A49,4954507.39274,10267.7943111,0.0318251315045443,4.50672816927717e-05
39,1606,16,FOOTHILL,VALLEY BUREAU,16A35,16195128.5714,20091.0264727,0.0623218428878237,0.000147314289773314
40,1617,16,FOOTHILL,VALLEY BUREAU,16A35,44692442.8921,40029.1217558,0.122217924253487,0.000406496599634077
41,1611,16,FOOTHILL,VALLEY BUREAU,16A11,10049927.7159,13058.5805818,0.0396999085098014,9.14158881967763e-05
42,1608,16,FOOTHILL,VALLEY BUREAU,16A35,34147202.7824,37072.0029053,0.117140498554163,0.000310600032502527
43,1614,16,FOOTHILL,VALLEY BUREAU,16A35,642248.838749,3801.04332681,0.0115071656618913,5.84205097661354e-06
44,1936,19,MISSION,VALLEY BUREAU,19A43,3062670.75654,7392.39609782,0.0223679984350269,2.78581426736633e-05
45,1613,16,FOOTHILL,VALLEY BUREAU,16A23,5710165.30149,10812.8050894,0.0330821563238104,5.19386517221671e-05
46,1612,16,FOOTHILL,VALLEY BUREAU,16A11,13012723.2957,14536.4185853,0.0442184676900795,0.000118357818406796
47,1729,17,DEVONSHIRE,VALLEY BUREAU,17A35,19490218.5427,20231.4495178,0.0641675612710287,0.000177279205467417
48,1717,17,DEVONSHIRE,VALLEY BUREAU,17A49,8882206.75154,15539.1444006,0.0482109836966031,8.07914992142933e-05
49,1935,19,MISSION,VALLEY BUREAU,19A43,12862145.7352,15701.6057088,0.048720170814174,0.000116990805036689
50,1944,19,MISSION,VALLEY BUREAU,19A43,10443221.3396,16470.7756102,0.0490011233095341,9.49856925830262e-05
51,1718,17,DEVONSHIRE,VALLEY BUREAU,17A49,10286256.2924,12878.0838346,0.0398885341835397,9.3561466290377e-05
52,1719,17,DEVONSHIRE,VALLEY BUREAU,17A49,637703.535919,3648.22203987,0.0112746040125426,5.80059328456263e-06
53,1934,19,MISSION,VALLEY BUREAU,19A43,2250663.85314,6992.94799668,0.0203118403905767,2.04713255663101e-05
54,1615,16,FOOTHILL,VALLEY BUREAU,16A35,5810497.97015,12078.5461029,0.0388124777368352,5.28509607029536e-05
55,1721,17,DEVONSHIRE,VALLEY BUREAU,17A23,78939005.0483,38374.9598359,0.11808156171744,0.000717931463536773
56,1728,17,DEVONSHIRE,VALLEY BUREAU,17A35,19455856.6456,19066.550117,0.0584927300665598,0.000176955947562282
57,1737,17,DEVONSHIRE,VALLEY BUREAU,17A35,16906398.9189,16559.0536732,0.0500730130768491,0.000153766962340541
58,1633,16,FOOTHILL,VALLEY BUREAU,16A23,9275652.7321,13250.5101009,0.040049657049,8.43655071811093e-05
59,1622,16,FOOTHILL,VALLEY BUREAU,16A11,13623062.7721,17801.2013012,0.0532566303378044,0.000123902874022609
60,1634,16,FOOTHILL,VALLEY BUREAU,16A35,40794682.9241,24805.1819794,0.0768715872152981,0.000371018782669503
61,1727,17,DEVONSHIRE,VALLEY BUREAU,17A35,28333366.788,21349.3337101,0.0645793844191502,0.00025768057289627
62,1635,16,FOOTHILL,VALLEY BUREAU,16A35,26108851.2909,26339.2510264,0.0814149955616506,0.000237464346065824
63,1723,17,DEVONSHIRE,VALLEY BUREAU,17A23,41769131.9201,27578.6490139,0.0851618780750993,0.000379874765990377
64,1943,19,MISSION,VALLEY BUREAU,19A43,13483000.4502,17358.2412518,0.0550344139974247,0.000122628756722868
65,1725,17,DEVONSHIRE,VALLEY BUREAU,17A23,21978481.9443,19919.4441862,0.0598905660229028,0.000199886670679973
66,1636,16,FOOTHILL,VALLEY BUREAU,16A35,19764879.1964,25251.000922,0.0766164828211041,0.000179752762169983
67,1623,16,FOOTHILL,VALLEY BUREAU,16A23,5927719.70873,11105.0338513,0.0339690876773491,5.391270199325e-05
68,1735,17,DEVONSHIRE,VALLEY BUREAU,17A35,20119347.9088,20829.3696071,0.0659064090195764,0.00018298566273096
69,1941,19,MISSION,VALLEY BUREAU,19A43,4366091.75505,8757.04993484,0.0259974667102725,3.97096625047521e-05
70,1738,17,DEVONSHIRE,VALLEY BUREAU,17A49,8545902.36222,12393.4589596,0.0389744733298684,7.77257293457904e-05
71,1645,16,FOOTHILL,VALLEY BUREAU,16A23,16811658.6643,16022.0865171,0.048130662272481,0.000152891731229845
72,1739,17,DEVONSHIRE,VALLEY BUREAU,17A49,3619866.61536,12209.662222,0.0387540600217658,3.29217285030425e-05
73,1621,16,FOOTHILL,VALLEY BUREAU,16A11,9789174.12363,13447.7325364,0.040548266409584,8.90265698199114e-05
74,1654,16,FOOTHILL,VALLEY BUREAU,16A23,17834483.9635,19550.4064919,0.0592628602804342,0.00016218374823237
75,1945,19,MISSION,VALLEY BUREAU,19A43,5879785.66485,17859.3006286,0.0570612529022953,5.34741847484542e-05
76,1637,16,FOOTHILL,VALLEY BUREAU,16A35,13374540.2483,16527.9967928,0.0514186041331498,0.000121634224533392
77,1643,16,FOOTHILL,VALLEY BUREAU,16A23,6368148.25277,11601.1389642,0.0350851405292621,5.79126523411246e-05
78,1655,16,FOOTHILL,VALLEY BUREAU,16A35,53440923.8058,30252.1455359,0.0926949164782315,0.000485974145318495
79,1745,17,DEVONSHIRE,VALLEY BUREAU,17A49,21528496.2797,21363.8090651,0.0677440341921988,0.000195784847560137
80,1722,17,DEVONSHIRE,VALLEY BUREAU,17A23,10729458.7832,14224.2702726,0.0445079829423858,9.75754811215906e-05
81,1747,17,DEVONSHIRE,VALLEY BUREAU,17A49,10444616.6732,13235.3502812,0.0408701415221233,9.49856485684078e-05
82,1743,17,DEVONSHIRE,VALLEY BUREAU,17A35,8749170.664,12685.1225406,0.0391299872722586,7.95666011202635e-05
83,1749,17,DEVONSHIRE,VALLEY BUREAU,17A49,13570979.9348,15602.6897033,0.0487040955449408,0.000123417189272586
84,1959,19,MISSION,VALLEY BUREAU,19A79,11701986.8555,16221.8208638,0.0479828125943464,0.000106412085033012
